fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498806.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498813.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485346.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485353.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485360.1
D/bovine/Mexico/USL0010_MX/2024|Mexico|2024-02-14,PX485367.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485372.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485380.1
D/bovine/Mexico/USL0033_MX/2024|Mexico|2024-02-15,PX485386.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485393.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485400.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485407.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485414.1
D/bovine/Texas/USL173_TX/2024|USA|2024-12-17,PX485421.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485428.1
D/bovine/Texas/USL180_TX/2024|USA|2024-12-17,PX485435.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485442.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485449.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485462.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485469.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485476.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485483.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485490.1
D/bovine/Kentucky/USL0271_KY/2024|USA|2024-05-13,PX485497.1
D/bovine/Hebei/HBSJZ1/2024|China|2024,PX313696.1
D/swine/France/150445/2015|France|2015,PP417773.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417782.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685129.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685136.1
D/bovine/CHN/JY3237/2023|China|2023-02-06,OR685147.1
D/bovine/CHN/JY3242/2023|China|2023-02-10,OR685153.1
D/bovine/Kirklareli/5950WH/2024|Turkey|2024-03-03,PQ766603.1
D/bovine/Kirklareli/5882WH/2024|Turkey|2024-03-03,PQ766604.1
D/bovine/Kirklareli/2202-15WH/2021|Turkey|2021-02-22,PQ766605.1
D/bovine/Kirklareli/403-10WH/2020|Turkey|2020-12-28,PQ766606.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596311.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-20,PQ596318.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596325.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596332.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596339.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596346.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596353.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596360.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596367.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596374.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596381.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596388.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596395.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596402.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596409.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596416.1
D/swine/France/29-220655/2022|France|2022-12-21,PP133485.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126153.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126154.1
D/bovine/South_Dakota/1925152/2019|USA|2019-12-18,OR126155.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880337.1
D/bovine/Jilin/HY15/2023|China|2023-10-17,OR880344.1
D/bovine/Jilin/HY19/2023|China|2023-10-17,OR880345.1
D/bovine/Shizuoka/T1/2022|Japan|2022,LC793498.1
D/bovine/Fukushima/7/2023|Japan|2023,LC793499.1
D/bovine/Fukushima/6/2023|Japan|2023,LC793500.1
D/bovine/Aomori/2/2013|Japan|2013,LC790324.1
D/bovine/Aomori/4/2016|Japan|2016,LC790325.1
D/bovine/Aomori/6/2016|Japan|2016,LC790326.1
D/bovine/Italy/11213/2021|Italy|2021-01-11,ON166834.1
D/bovine/Italy/56705-6/2020|Italy|2020-02-15,ON166835.1
D/bovine/Italy/27054-2/2020|Italy|2020-01-23,ON166836.1
D/bovine/Italy/18984/2020|Italy|2020-01-17,ON166837.1
D/bovine/Italy/18788-3/2020|Italy|2020-01-16,ON166838.1
D/bovine/Italy/32965/2021|Italy|2021-01-28,ON166839.1
D/bovine/Italy/132550/2021|Italy|2021-04-19,ON166840.1
D/bovine/Italy/7368/2022|Italy|2022-01-10,ON166842.1
D/bovine/Italy/27930/2022|Italy|2022-01-25,ON166843.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474074.1
D/bovine/Bursa/ET-138/2021|Turkey|2021-03,OP353623.1
D/bovine/China/JY3001/2021|China|2021-12-17,ON415266.1
D/bovine/France/A13/2018|France|2018-02-28,ON038774.1
D/bovine/France/A23D/2018|France|2018-02-28,ON038776.1
D/bovine/France/B31/2018|France|2018-02-28,ON038777.1
D/bovine/France/B19/2018|France|2018-02-28,ON038778.1
D/bovine/France/B32/2018|France|2018-02-28,ON038779.1
D/bovine/France/B20/2018|France|2018-02-28,ON038780.1
D/bovine/France/B8D/2018|France|2018-02-28,ON038781.1
D/bovine/France/B14D/2018|France|2018-02-28,ON038782.1
D/bovine/France/B18D/2018|France|2018-02-28,ON038783.1
D/bovine/France/B13D/2018|France|2018-02-28,ON038784.1
D/bovine/France/B21D/2018|France|2018-02-28,ON038785.1
D/bovine/France/B23D/2018|France|2018-02-28,ON038786.1
D/bovine/France/B37D/2018|France|2018-02-28,ON038787.1
D/bovine/France/B39D/2018|France|2018-02-28,ON038788.1
D/bovine/France/B45D/2018|France|2018-02-28,ON038789.1
D/bovine/France/B33/2018|France|2018-02-28,ON038790.1
D/bovine/France/B34/2018|France|2018-02-28,ON038791.1
D/bovine/France/B24D/2018|France|2018-02-28,ON038792.1
D/bovine/France/B38D/2018|France|2018-02-28,ON038793.1
D/bovine/France/B22D/2018|France|2018-02-28,ON038794.1
D/bovine/France/CO-E2256.01/2018|France|2018,ON038935.1
D/bovine/CHN/JLSL/2021|China|2021-12-06,OM763677.1
D/bovine/Denmark/5246407608-2/2019|Denmark|2019-03-01,OM468246.1
D/bovine/Denmark/3313408142-6/2020|Denmark|2020-01-08,OM468241.1
D/bovine/Denmark/1173303525-4/2019|Denmark|2019-04-05,OM468242.1
D/bovine/Denmark/5358904609-3/2019|Denmark|2019-03-12,OM468247.1
D/bovine/Denmark/6171103755-1/2019|Denmark|2019-02-06,OM468243.1
D/bovine/Denmark/5195604790-5/2019|Denmark|2019-02-20,OM468245.1
D/bovine/Denmark/5224403563-5/2019|Denmark|2019-04-24,OM468244.1
D/bovine/Denmark/3058506689-11/2019|Denmark|2019-10-09,OM468248.1
D/bovine/Denmark/5022903340-5/2019|Denmark|2019-01-15,OM468237.1
D/bovine/Denmark/5161205135-5/2019|Denmark|2019-01-15,OM468239.1
D/bovine/Denmark/5195604714-5/2019|Denmark|2019-01-15,OM468238.1
D/bovine/Denmark/4559602762-5/2019|Denmark|2019-01-15,OM468240.1
D/bovine/Denmark/3727003200-7/2020|Denmark|2020-03-12,OM468233.1
D/bovine/Denmark/5256205576-8/2020|Denmark|2020-03-06,OM468234.1
D/bovine/Denmark/1052304114-10/2020|Denmark|2020-01-16,OM468235.1
D/bovine/Denmark/5995505714-9/2020|Denmark|2020-02-11,OM468236.1
D/bovine/Denmark/47398-3622/2015|Denmark|2015-11-03,OM468296.1
D/bovine/Namibia/255880/2020|Namibia|2020-11-10,OK513025.1
D/bovine/Italy/287448/2015|Italy|2015-10,MZ264979.1
D/bovine/California/0363/2019|USA|2019,MW020308.1
D/bovine/California/0894/2019|USA|2019,MW020315.1
D/bovine/California/1908/2019|USA|2019,MW020322.1
D/bovine/Michigan/0377/2019|USA|2019-02-01,MW632174.1
D/bovine/California/1490/2018|USA|2018-11-01,MW632181.1
D/bovine/Oklahoma/1544/2018|USA|2018-11-01,MW632188.1
