fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498802.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498809.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485348.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485355.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485362.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485374.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485382.1
D/bovine/Mexico/USL0033_MX/2024|Mexico|2024-02-15,PX485388.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485395.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485402.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485409.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485416.1
D/bovine/Texas/USL173_TX/2024|USA|2024-12-17,PX485423.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485430.1
D/bovine/Texas/USL180_TX/2024|USA|2024-12-17,PX485437.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485444.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485451.1
D/bovine/Texas/USL189_TX/2024|USA|2024-12-17,PX485457.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485464.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485471.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485478.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485485.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485492.1
D/bovine/Kentucky/USL0271_KY/2024|USA|2024-05-13,PX485498.1
D/bovine/Hebei/HBSJZ1/2024|China|2024,PX313701.1
D/swine/France/150445/2015|France|2015,PP417772.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417784.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685131.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685138.1
D/bovine/CHN/JY3237/2023|China|2023-02-06,OR685149.1
D/bovine/CHN/JY3242/2023|China|2023-02-10,OR685155.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596313.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-20,PQ596320.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596327.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596334.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596341.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596348.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596355.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596362.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596369.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596376.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596383.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596390.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596397.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596404.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596411.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596418.1
D/swine/France/29-220655/2022|France|2022-12-21,PP133487.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126159.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126160.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880341.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474076.1
D/bovine/China/JY3001/2021|China|2021-12-17,ON415268.1
D/bovine/France/O-EA13/2018|France|2018-02-28,ON038878.1
D/bovine/France/O-EA23D/2018|France|2018-02-28,ON038879.1
D/bovine/France/O-EB13D/2018|France|2018-02-28,ON038880.1
D/bovine/France/O-EB14D/2018|France|2018-02-28,ON038881.1
D/bovine/France/O-EB18D/2018|France|2018-02-28,ON038882.1
D/bovine/France/O-EB19/2018|France|2018-02-28,ON038883.1
D/bovine/France/O-EB20/2018|France|2018-02-28,ON038884.1
