fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498804.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498811.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485349.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485356.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485363.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485375.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485383.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485396.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485403.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485410.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485417.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485431.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485445.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485452.1
D/bovine/Texas/USL189_TX/2024|USA|2024-12-17,PX485458.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485465.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485472.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485479.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485486.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485493.1
D/bovine/Kentucky/USL0271_KY/2024|USA|2024-05-13,PX485499.1
D/bovine/Hebei/HBSJZ1/2024|China|2024,PX313699.1
D/swine/France/150445/2015|France|2015,PP417778.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417785.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685132.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685139.1
D/bovine/CHN/JY3125/2022|China|2022-12-27,OR685143.1
D/bovine/CHN/JY3237/2023|China|2023-02-06,OR685150.1
D/bovine/CHN/JY3242/2023|China|2023-02-10,OR685156.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596314.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-21,PQ596321.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596328.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596335.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596342.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596349.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596356.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596363.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596370.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596377.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596384.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596391.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596398.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596405.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596412.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596419.1
D/swine/France/29-220655/2022|France|2022-12-21,PP133488.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126161.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126162.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880339.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474077.1
D/bovine/China/JY3001/2021|China|2021-12-17,ON415269.1
D/bovine/France/O-EA13/2018|France|2018-02-28,ON038899.1
D/bovine/France/O-EA23D/2018|France|2018-02-28,ON038900.1
D/bovine/France/O-EB13D/2018|France|2018-02-28,ON038902.1
D/bovine/France/O-EB18D/2018|France|2018-02-28,ON038903.1
D/bovine/France/O-EB19/2018|France|2018-02-28,ON038904.1
D/bovine/France/O-EB20/2018|France|2018-02-28,ON038905.1
D/bovine/France/O-EB20D/2018|France|2018-02-28,ON038906.1
D/bovine/France/O-EB21D/2018|France|2018-02-28,ON038907.1
D/bovine/France/O-EB22D/2018|France|2018-02-28,ON038908.1
D/bovine/France/O-EB23D/2018|France|2018-02-28,ON038909.1
D/bovine/France/O-EB24D/2018|France|2018-02-28,ON038910.1
D/bovine/France/O-EB31/2018|France|2018-02-28,ON038911.1
D/bovine/France/O-EB32/2018|France|2018-02-28,ON038912.1
D/bovine/France/O-EB33/2018|France|2018-02-28,ON038913.1
D/bovine/France/O-EB37D/2018|France|2018-02-28,ON038915.1
D/bovine/France/O-EB38D/2018|France|2018-02-28,ON038916.1
D/bovine/France/O-EB39D/2018|France|2018-02-28,ON038917.1
D/bovine/France/O-EB45D/2018|France|2018-02-28,ON038918.1
D/bovine/France/O-EB8D/2018|France|2018-02-28,ON038919.1
D/bovine/France/O-EB34/2018|France|2018-02-28,ON038914.1
D/bovine/France/O-EA31/2018|France|2018-02-28,ON038901.1
D/bovine/France/CO-E2256.01/2018|France|2018,ON038932.1
D/bovine/France/O-EC3/2018|France|2018-03-12,ON038931.1
D/bovine/CHN/JLSL/2021|China|2021-12-06,OM763680.1
D/bovine/Denmark/5246407608-2/2019|Denmark|2019-03-01,OM468283.1
