fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498800.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498807.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485343.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485350.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485357.1
D/bovine/Mexico/USL0010_MX/2024|Mexico|2024-02-14,PX485364.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485369.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485377.1
D/bovine/Mexico/USL0033_MX/2024|Mexico|2024-02-15,PX485384.1
D/bovine/Kentucky/USL0060_KY/2024|USA|2024-05-08,PX485389.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485390.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485397.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485404.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485411.1
D/bovine/Texas/USL173_TX/2024|USA|2024-12-17,PX485418.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485425.1
D/bovine/Texas/USL180_TX/2024|USA|2024-12-17,PX485432.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485439.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485446.1
D/bovine/Texas/USL189_TX/2024|USA|2024-12-17,PX485453.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485459.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485466.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485473.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485480.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485487.1
D/bovine/Kentucky/USL0271_KY/2024|USA|2024-05-13,PX485494.1
D/swine/France/150445/2015|France|2015,PP417776.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417779.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685126.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685133.1
D/bovine/CHN/JY3237/2023|China|2023-02-06,OR685144.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596308.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-20,PQ596315.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596322.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596329.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596336.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596343.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596350.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596357.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596364.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596371.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596378.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596385.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596392.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596399.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596406.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596413.1
D/swine/France/29-220655/2022|France|2022-12-21,PP133482.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126148.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126149.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880343.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474071.1
D/bovine/France/O-EA13/2018|France|2018-02-28,ON038795.1
D/bovine/France/O-EA23D/2018|France|2018-02-28,ON038796.1
D/bovine/France/O-EB13D/2018|France|2018-02-28,ON038797.1
D/bovine/France/O-EB14D/2018|France|2018-02-28,ON038798.1
D/bovine/France/O-EB18D/2018|France|2018-02-28,ON038799.1
D/bovine/France/O-EB19/2018|France|2018-02-28,ON038800.1
D/bovine/France/O-EB20/2018|France|2018-02-28,ON038801.1
D/bovine/France/O-EB20D/2018|France|2018-02-28,ON038802.1
D/bovine/France/O-EB21D/2018|France|2018-02-28,ON038803.1
D/bovine/France/O-EB22D/2018|France|2018-02-28,ON038804.1
D/bovine/France/O-EB23D/2018|France|2018-02-28,ON038805.1
D/bovine/France/O-EB24D/2018|France|2018-02-28,ON038806.1
D/bovine/France/O-EB31/2018|France|2018-02-28,ON038807.1
D/bovine/France/O-EB32/2018|France|2018-02-28,ON038808.1
D/bovine/France/O-EB33/2018|France|2018-02-28,ON038809.1
D/bovine/France/O-EB37D/2018|France|2018-02-28,ON038810.1
D/bovine/France/O-EB38D/2018|France|2018-02-28,ON038811.1
D/bovine/France/O-EB39D/2018|France|2018-02-28,ON038812.1
D/bovine/France/O-EB45D/2018|France|2018-02-28,ON038813.1
D/bovine/France/O-EB8D/2018|France|2018-02-28,ON038814.1
D/bovine/France/CO-E2256.01/2018|France|2018,ON038921.1
D/bovine/Denmark/5246407608-2/2019|Denmark|2019-03-01,OM468185.1
D/bovine/Denmark/3313408142-6/2020|Denmark|2020-01-08,OM468186.1
D/bovine/Denmark/1173303525-4/2019|Denmark|2019-04-05,OM468187.1
D/bovine/Denmark/5358904609-3/2019|Denmark|2019-03-12,OM468188.1
D/bovine/Denmark/6171103755-1/2019|Denmark|2019-02-06,OM468189.1
D/bovine/Denmark/5195604790-5/2019|Denmark|2019-02-20,OM468190.1
D/bovine/Denmark/5224403563-5/2019|Denmark|2019-04-24,OM468191.1
D/bovine/Denmark/3058506689-11/2019|Denmark|2019-10-09,OM468192.1
D/bovine/Denmark/5022903340-5/2019|Denmark|2019-01-15,OM468193.1
D/bovine/Denmark/5161205135-5/2019|Denmark|2019-01-15,OM468194.1
D/bovine/Denmark/5195604714-5/2019|Denmark|2019-01-15,OM468195.1
D/bovine/Denmark/4559602762-5/2019|Denmark|2019-01-15,OM468196.1
D/bovine/Denmark/3727003200-7/2020|Denmark|2020-03-12,OM468197.1
D/bovine/Denmark/5256205576-8/2020|Denmark|2020-03-06,OM468198.1
D/bovine/Denmark/1052304114-10/2020|Denmark|2020-01-16,OM468199.1
D/bovine/Denmark/5995505714-9/2020|Denmark|2020-02-11,OM468200.1
D/bovine/Namibia/255880/2020|Namibia|2020-11-10,OK513022.1
D/bovine/Italy/287448/2015|Italy|2015-10,MZ264973.1
D/bovine/California/0363/2019|USA|2019,MW020305.1
D/bovine/California/0894/2019|USA|2019,MW020312.1
D/bovine/California/1908/2019|USA|2019,MW020319.1
D/bovine/Michigan/0377/2019|USA|2019-02-01,MW632171.1
D/bovine/California/1490/2018|USA|2018-11-01,MW632178.1
D/bovine/Oklahoma/1544/2018|USA|2018-11-01,MW632185.1
D/bovine/Hokkaido/HKD1/2018|Japan|2018-11,LC565467.1
D/bovine/Hokkaido/HKD2/2019|Japan|2019-01,LC565468.1
D/bovine/Hokkaido/HKD3/2020|Japan|2020-01,LC565469.1
D/bovine/Utah/9/2019|USA|2019-01-09,MW079430.1
D/bovine/California/17/2019|USA|2019-01-16,MW079431.1
D/bovine/Kansas/25/2019|USA|2019-04-16,MW079432.1
D/bovine/Kansas/26/2019|USA|2019-04-16,MW079433.1
D/bovine/Kansas/27/2019|USA|2019-04-16,MW079434.1
D/bovine/Kansas/28/2019|USA|2019-04-16,MW079435.1
D/bovine/Kansas/33/2019|USA|2019-08-20,MW079436.1
D/bovine/Texas/72/2017|USA|2017,MT636470.1
D/bovine/Italy/17VIR1851/2016|Italy|2016-10-26,MK965373.1
D/bovine/Italy/16RS2359/2016|Italy|2016-12-16,MK965381.1
D/bovine/Italy/16RS2581-9/2016|Italy|2016-12-29,MK965382.1
D/bovine/Italy/17RS393-6/2017|Italy|2017-02-17,MK965383.1
D/bovine/Italy/17RS395-6/2017|Italy|2017-02-08,MK965384.1
D/bovine/Italy/17RS396-10/2017|Italy|2017-02-08,MK965385.1
D/bovine/Italy/18RS182-13/2017|Italy|2017-12-19,MK965374.1
D/bovine/Italy/18RS182-14/2017|Italy|2017-12-18,MK965375.1
D/bovine/Italy/18RS182-16/2018|Italy|2018-01-19,MK965378.1
D/bovine/Italy/18RS182-17/2018|Italy|2018-01-19,MK965379.1
D/bovine/Italy/18RS182-18/2018|Italy|2018-01-19,MK965380.1
D/bovine/Italy/18RS182-3/2017|Italy|2017-03-20,MK965376.1
D/bovine/Italy/15RS1509-14/2015|Italy|2015-09-10,MK965387.1
D/swine/Italy/18VIR6833/2015|Italy|2015,MK965388.1
D/bovine/Quebec/5E-H/2018|Canada|2018,MT246272.1
D/bovine/Quebec/1M-H/2019|Canada|2019,MT246279.1
D/bovine/Quebec/3E-H/2018|Canada|2018,MT246285.1
D/bovine/Quebec/3M-B/2020|Canada|2020-01,MT246292.1
D/bovine/Quebec/4Q-J20/2020|Canada|2020-01,MT246299.1
D/swine/Italy/73601-3/2017|Italy|2017-03,MK131022.1
D/bovine/Italy/31525/2018|Italy|2018-01,MK131029.1
D/bovine/Yamagata/1/2019|Japan|2019-01-07,LC494105.1
D/bovine/Italy/28145/2019|Italy|2019-01,MN123862.1
D/bovine/Italy/28300/2019|Italy|2019-01,MN123863.1
D/bovine/Italy/30787/2017|Italy|2017-02,MN123876.1
D/bovine/Italy/35490/2019|Italy|2019-01,MN123877.1
D/bovine/Italy/38955/2019|Italy|2019-01,MN123884.1
D/bovine/Italy/45097/2019|Italy|2019-02,MN123891.1
D/bovine/Italy/72875/2019|Italy|2019-02,MN123898.1
D/bovine/Italy/78668/2019|Italy|2019-03,MN123905.1
D/bovine/Italy/345075/2018|Italy|2018-04,MN123912.1
D/bovine/Italy/3907772/2018|Italy|2018-12,MN123919.1
D/bovine/Italy/56649-11/2018|Italy|2018-02,MN123933.1
D/bovine/Italy/776951/2018|Italy|2018-03,MN123940.1
D/swine/Italy/218655/2017|Italy|2017-08,MN123947.1
D/bovine/Italy/59542/2018|Italy|2018-03,MN165182.1
D/bovine/Italy/50543-3/2018|Italy|2018-02,MN165189.1
D/bovine/Italy/4128547/2018|Italy|2018-02,MN165196.1
D/bovine/Italy/40574/2018|Italy|2018-01,MN165203.1
D/bovine/Italy/37760/2019|Italy|2019-01,MN165210.1
D/bovine/Italy/3525/2018|Italy|2018-01,MN165217.1
D/bovine/Italy/20749/2018|Italy|2018-01,MN165224.1
D/bovine/Italy/14429/2018|Italy|2018-01,MN165231.1
D/bovine/Italy/12545-8/2018|Italy|2018-01,MN165237.1
D/bovine/Italy/12002-1/2018|Italy|2018-01,MN165244.1
D/bovine/Italy/108524/2018|Italy|2018-04,MN165251.1
D/bovine/Italy/19RS176-11/2018|Italy|2018-03-29,MN173616.1
D/bovine/France/5920/2014|France|2014-02-18,MG720239.1
D/bovine/Northern_Ireland/24280/2017|United_Kingdom|2017-12-01,MK101118.1
D/swine/Kentucky/17TOSU1262/2017|USA|2017-11-01,MK054181.1
D/swine/Oklahoma/1334/2011|USA|2011-03-21,NC_036616.1
D/bovine/Yamagata/10710/2016|Japan|2016-03,LC318665.1
D/swine/Italy/268344-2/2015|Italy|2015-10,KX768817.1
D/swine/Italy/173287-4/2016|Italy|2016-05,KX768824.1
D/swine/Italy/254578/2015|Italy|2015-09,KX768831.1
D/swine/Italy/354017/2015|Italy|2015-12,KX768838.1
D/bovine/Miyazaki/B22/2016|Japan|2016-04-13,LC270265.1
D/bovine/Ibaraki/7768/2016|Japan|2016-02-04,LC128439.1
D/bovine/Mexico/S7/2015|Mexico|2015,KU710438.1
D/bovine/Mexico/S8/2015|Mexico|2015,KU710439.1
D/bovine/Mexico/S56/2015|Mexico|2015,KU710440.1
D/bovine/Mexico/S62/2015|Mexico|2015,KU710441.1
D/bovine/Italy/1/2014|Italy|2014-11,KT592516.1
D/bovine/Italy/46484/2015|Italy|2015,KT592523.1
D/swine/Italy/199724-3/2015|Italy|2015,KT592530.1
D/bovine/Mississippi/C00046N/2014|USA|2014-02-19,KT581409.1
D/bovine/Mississippi/C00013N/2014|USA|2014-02-07,MT511506.1
D/bovine/Mississippi/C00014N/2014|USA|2014-02-07,MT511444.1
D/bovine/Mississippi/C00030P/2014|USA|2014-02-19,MT511368.1
D/bovine/Shandong/Y125/2014|China|2014-04-02,KM015491.1
D/bovine/Shandong/Y127/2014|China|2014-04-02,KM015498.1
D/bovine/Shandong/Y217/2014|China|2014-04-02,KM015505.1
D/bovine/Kansas/1-35/2010|USA|2010-12-10,KM392475.1
D/bovine/Texas/3-13/2011|USA|2011-06-01,KM392482.1
D/bovine/Kansas/13-21/2012|USA|2012-10-17,KM392489.1
D/bovine/Kansas/14-22/2012|USA|2012-12-01,KM392496.1
D/bovine/Kansas/11-8/2012|USA|2012-04-19,KM392503.1
D/bovine/Minnesota/628/2013|USA|2013-02-18,KF425652.1
D/bovine/Oklahoma/660/2013|USA|2013-02-20,KF425659.1
D/bovine/Minnesota/729/2013|USA|2013-02-26,KF425666.1
D/swine/Northern_Ireland/2156-02/2023|United_Kingdom|2023-01-24,PQ776796.1
D/swine/Northern_Ireland/2156-07/2023|United_Kingdom|2023-01-24,PQ776797.1
D/swine/Northern_Ireland/2170-22/2023|United_Kingdom|2023-02-24,PQ776798.1
D/swine/Northern_Ireland/2170-23/2023|United_Kingdom|2023-02-24,PQ776799.1
D/swine/Northern_Ireland/2155-15/2023|United_Kingdom|2023-01-13,PQ776800.1
D/swine/Northern_Ireland/2155-27/2023|United_Kingdom|2023-01-13,PQ776801.1
D/swine/Northern_Ireland/2163-09/2023|United_Kingdom|2023-01-31,PQ776802.1
D/swine/Northern_Ireland/2163-17/2023|United_Kingdom|2023-01-31,PQ776803.1
D/swine/Northern_Ireland/2160-29/2023|United_Kingdom|2023-01-25,PQ776804.1
D/swine/Northern_Ireland/2160-28/2023|United_Kingdom|2023-01-25,PQ776805.1
D/swine/Northern_Ireland/2179-26/2023|United_Kingdom|2023-04-17,PQ776806.1
D/swine/Northern_Ireland/2179-28/2023|United_Kingdom|2023-04-17,PQ776807.1
D/swine/Northern_Ireland/2168-27/2023|United_Kingdom|2023-02-07,PQ776808.1
D/swine/Northern_Ireland/2168-29/2023|United_Kingdom|2023-02-07,PQ776809.1
IDV_NSW_L13|Australia|2019-04,OP020132.1
D/bovine/Italy/94269-2/2019|Italy|2019-03,MT349510.1
D/bovine/Italy/94269-1/2019|Italy|2019-03,MT349517.1
D/bovine/Italy/94243/2019|Italy|2019-03,MT349524.1
D/bovine/Italy/60797/2017|Italy|2017-03,MT349531.1
D/bovine/Italy/37431/2018|Italy|2018-02,MT349536.1
D/bovine/Italy/358240/2017|Italy|2017-12,MT349546.1
D/bovine/Italy/344278/2017|Italy|2017-12,MT349554.1
D/bovine/Italy/300771/2017|Italy|2017-11,MT349572.1
D/bovine/Italy/188812-1/2017|Italy|2017-07,MT349579.1
D/bovine/Italy/174489/2019|Italy|2019-05,MT349593.1
D/bovine/Italy/144539/2019|Italy|2019-04,MT349600.1
D/bovine/Italy/13882-2/2017|Italy|2017-01,MT349614.1
D/bovine/Italy/131159/2017|Italy|2017-05,MT349621.1
D/bovine/Italy/123836/2017|Italy|2017-05,MT349635.1
D/bovine/Italy/122566-2/2019|Italy|2019-04,MT349641.1
D/bovine/Italy/117140/2019|Italy|2019-04,MT349648.1
D/bovine/Mississippi/C00037P/2014|USA|2014-02-19,MT511333.1
D/bovine/Mississippi/C00075N/2014|USA|2014-04-02,MT511340.1
D/bovine/Mississippi/C00013P/2014|USA|2014-02-07,MT511347.1
D/bovine/Mississippi/C00180N/2015|USA|2015-07-24,MT511354.1
D/bovine/Mississippi/C00135N/2014|USA|2014-05-23,MT511361.1
D/bovine/Mississippi/C00196N/2015|USA|2015-07-24,MT511374.1
D/bovine/Mississippi/C00017N/2014|USA|2014-02-07,MT511381.1
D/bovine/Mississippi/C00040P/2014|USA|2014-02-19,MT511388.1
D/bovine/Mississippi/C00200N/2015|USA|2015-07-24,MT511395.1
D/bovine/Mississippi/C00185N/2015|USA|2015-07-24,MT511402.1
D/bovine/Mississippi/C00007N/2014|USA|2014-02-07,MT511409.1
D/bovine/Mississippi/C00002N/2014|USA|2014-02-07,MT511416.1
D/bovine/Mississippi/C00004N/2014|USA|2014-02-19,MT511423.1
D/bovine/Mississippi/C00213N/2015|USA|2015-07-24,MT511430.1
D/bovine/Mississippi/C00199N/2015|USA|2015-07-24,MT511437.1
D/bovine/Mississippi/C00158N/2015|USA|2015-01-09,MT511450.1
D/bovine/Mississippi/C00020N/2014|USA|2014-02-07,MT511457.1
D/bovine/Mississippi/C00218N/2015|USA|2015-07-24,MT511464.1
D/bovine/Mississippi/C00165P/2015|USA|2015-01-17,MT511471.1
D/bovine/Mississippi/C00067N/2014|USA|2014-04-02,MT511478.1
D/bovine/Mississippi/C00148N/2014|USA|2014-01-09,MT511485.1
D/bovine/Mississippi/C00162N/2015|USA|2015-01-09,MT511492.1
D/bovine/Mississippi/C00186N/2015|USA|2015-07-24,MT511499.1
D/bovine/Mississippi/C00207N/2015|USA|2015-07-24,MT511512.1
D/bovine/Mississippi/C00158P/2015|USA|2015-01-09,MT511519.1
D/bovine/Mississippi/C00009P/2014|USA|2014-02-07,MT511526.1
D/bovine/Mississippi/C00165N/2015|USA|2015-01-17,MT511533.1
D/bovine/Mississippi/C00214N/2015|USA|2015-07-24,MT511540.1
