fasta_name,accession
D/swine/Ohio/18TOSU0287/2018|USA|2018-05-26,PX498803.1
D/swine/Georgia/20TOSU0209/2020|USA|2020-01-25,PX498810.1
D/bovine/Mexico/USL0008_MX/2024|Mexico|2024-02-14,PX485345.1
D/bovine/Mexico/USL0009_MX/2024|Mexico|2024-02-14,PX485352.1
D/bovine/Kentucky/USL0010_KY/2024|USA|2024-05-06,PX485359.1
D/bovine/Mexico/USL0010_MX/2024|Mexico|2024-02-14,PX485366.1
D/bovine/Kentucky/USL0011_KY/2024|USA|2024-05-06,PX485371.1
D/bovine/Mexico/USL0026_MX/2024|Mexico|2024-02-15,PX485379.1
D/bovine/Kentucky/USL0097_KY/2024|USA|2024-08-14,PX485392.1
D/bovine/Texas/USL152_TX/2024|USA|2024-12-17,PX485399.1
D/bovine/Texas/USL160_TX/2024|USA|2024-12-17,PX485406.1
D/bovine/Texas/USL166_TX/2024|USA|2024-12-17,PX485413.1
D/bovine/Texas/USL173_TX/2024|USA|2024-12-17,PX485420.1
D/bovine/Texas/USL179_TX/2024|USA|2024-12-17,PX485427.1
D/bovine/Texas/USL180_TX/2024|USA|2024-12-17,PX485434.1
D/bovine/Texas/USL181_TX/2024|USA|2024-12-17,PX485441.1
D/bovine/Texas/USL186_TX/2024|USA|2024-12-17,PX485448.1
D/bovine/Texas/USL189_TX/2024|USA|2024-12-17,PX485455.1
D/bovine/Texas/USL194_TX/2024|USA|2024-12-17,PX485461.1
D/bovine/Texas/USL198_TX/2024|USA|2024-12-17,PX485468.1
D/bovine/Kentucky/USL0218_KY/2024|USA|2024-12-11,PX485475.1
D/bovine/Kentucky/USL0219_KY/2024|USA|2024-12-11,PX485482.1
D/bovine/Kentucky/USL0220_KY/2024|USA|2024-12-11,PX485489.1
D/bovine/Kentucky/USL0271_KY/2024|USA|2024-05-13,PX485496.1
D/bovine/Hebei/HBSJZ1/2024|China|2024,PX313697.1
D/swine/France/150445/2015|France|2015,PP417774.1
D/bovine/Nebraska/9-5/2012|USA|2012-01-31,PP417781.1
D/bovine/CHN/JY3002/2022|China|2022-10-20,OR685128.1
D/bovine/CHN/JY3097/2022|China|2022-11-14,OR685135.1
D/bovine/CHN/JY3237/2023|China|2023-02-06,OR685146.1
D/bovine/Sweden/SVA210121SZ0271-KN000300-F/2021|Sweden|2021-01-21,PQ596310.1
D/bovine/Sweden/SVA210122SZ0073-KN000334-F3/2021|Sweden|2021-01-20,PQ596317.1
D/bovine/Sweden/SVA210122SZ0094-KN000338-F3/2021|Sweden|2021-01-20,PQ596324.1
D/bovine/Sweden/SVA210226SZ0333-KN000388-F3/2021|Sweden|2021-02-25,PQ596331.1
D/bovine/Sweden/SVA210226SZ0333-KN001034-F3/2021|Sweden|2021-02-25,PQ596338.1
D/bovine/Sweden/SVA210407SZ0515-KN000384-F7/2021|Sweden|2021-04-06,PQ596345.1
D/bovine/Sweden/SVA210407SZ0515-KN002385-F7/2021|Sweden|2021-04-06,PQ596352.1
D/bovine/Sweden/SVA231027SZ0086-FB248425-F8/2023|Sweden|2023-01-25,PQ596359.1
D/bovine/Sweden/SVA231027SZ0086-FB248426-F8/2023|Sweden|2023-01-25,PQ596366.1
D/bovine/Sweden/SVA231027SZ0086-FB248428-F8/2023|Sweden|2023-10-25,PQ596373.1
D/bovine/Sweden/SVA231214SZ0296-FB004661-F9/2023|Sweden|2023-12-11,PQ596380.1
D/bovine/Sweden/SVA240126SZ0148-FB000265-_F10/2024|Sweden|2024-01-24,PQ596387.1
D/bovine/Sweden/SVA240126SZ0148-FB000267-_F10/2024|Sweden|2024-01-24,PQ596394.1
D/bovine/Sweden/SVA240130SZ0031-FB019676-_F11/2024|Sweden|2024-01-30,PQ596401.1
D/bovine/Sweden/SVA240214SZ0154-FB000557-_F12/2024|Sweden|2024-02-12,PQ596408.1
D/bovine/Sweden/SVA240301SZ0169-FB001897-_F13/2024|Sweden|2024-03-01,PQ596415.1
D/swine/France/29-220655/2022|France|2022-12-21,PP133484.1
D/bovine/South_Dakota/1923830/2019|USA|2019-11-21,OR126150.1
D/bovine/South_Dakota/9251/2020|USA|2020-02-03,OR126151.1
D/bovine/South_Dakota/1925152/2019|USA|2019-12-18,OR126152.1
D/bovine/Jilin/HY11/2023|China|2023-10-17,OR880340.1
D/swine/Netherlands/PS-497/2021|Netherlands|2021-03-10,OP474073.1
D/bovine/China/JY3001/2021|China|2021-12-17,ON415265.1
D/bovine/France/O-EA13/2018|France|2018-02-28,ON038836.1
D/bovine/France/O-EA23D/2018|France|2018-02-28,ON038837.1
D/bovine/France/O-EB13D/2018|France|2018-02-28,ON038838.1
D/bovine/France/O-EB14D/2018|France|2018-02-28,ON038839.1
D/bovine/France/O-EB18D/2018|France|2018-02-28,ON038840.1
D/bovine/France/O-EB19/2018|France|2018-02-28,ON038841.1
D/bovine/France/O-EB20/2018|France|2018-02-28,ON038842.1
D/bovine/France/O-EB20D/2018|France|2018-02-28,ON038843.1
D/bovine/France/O-EB21D/2018|France|2018-02-28,ON038844.1
D/bovine/France/O-EB22D/2018|France|2018-02-28,ON038845.1
D/bovine/France/O-EB23D/2018|France|2018-02-28,ON038846.1
D/bovine/France/O-EB24D/2018|France|2018-02-28,ON038847.1
D/bovine/France/O-EB31/2018|France|2018-02-28,ON038848.1
D/bovine/France/O-EB32/2018|France|2018-02-28,ON038849.1
D/bovine/France/O-EB33/2018|France|2018-02-28,ON038850.1
D/bovine/France/O-EB37D/2018|France|2018-02-28,ON038852.1
D/bovine/France/O-EB38D/2018|France|2018-02-28,ON038853.1
D/bovine/France/O-EB39D/2018|France|2018-02-28,ON038854.1
D/bovine/France/O-EB45D/2018|France|2018-02-28,ON038855.1
D/bovine/France/O-EB8D/2018|France|2018-02-28,ON038856.1
D/bovine/France/O-EB34/2018|France|2018-02-28,ON038851.1
D/bovine/France/CO-E2256.01/2018|France|2018,ON038925.1
D/bovine/CHN/JLSL/2021|China|2021-12-06,OM763676.1
D/bovine/Denmark/5246407608-2/2019|Denmark|2019-03-01,OM468217.1
D/bovine/Denmark/3313408142-6/2020|Denmark|2020-01-08,OM468228.1
D/bovine/Denmark/1173303525-4/2019|Denmark|2019-04-05,OM468226.1
D/bovine/Denmark/5358904609-3/2019|Denmark|2019-03-12,OM468227.1
D/bovine/Denmark/6171103755-1/2019|Denmark|2019-02-06,OM468224.1
D/bovine/Denmark/5195604790-5/2019|Denmark|2019-02-20,OM468225.1
D/bovine/Denmark/5224403563-5/2019|Denmark|2019-04-24,OM468223.1
D/bovine/Denmark/3058506689-11/2019|Denmark|2019-10-09,OM468222.1
D/bovine/Denmark/5022903340-5/2019|Denmark|2019-01-15,OM468219.1
D/bovine/Denmark/5161205135-5/2019|Denmark|2019-01-15,OM468220.1
D/bovine/Denmark/5195604714-5/2019|Denmark|2019-01-15,OM468221.1
D/bovine/Denmark/4559602762-5/2019|Denmark|2019-01-15,OM468218.1
D/bovine/Denmark/3727003200-7/2020|Denmark|2020-03-12,OM468229.1
D/bovine/Denmark/5256205576-8/2020|Denmark|2020-03-06,OM468230.1
D/bovine/Denmark/1052304114-10/2020|Denmark|2020-01-16,OM468231.1
D/bovine/Denmark/5995505714-9/2020|Denmark|2020-02-11,OM468232.1
D/bovine/Namibia/255880/2020|Namibia|2020-11-10,OK513024.1
D/bovine/Italy/287448/2015|Italy|2015-10,MZ264974.1
D/bovine/California/0363/2019|USA|2019,MW020307.1
D/bovine/California/0894/2019|USA|2019,MW020314.1
D/bovine/California/1908/2019|USA|2019,MW020321.1
D/bovine/Michigan/0377/2019|USA|2019-02-01,MW632173.1
D/bovine/California/1490/2018|USA|2018-11-01,MW632180.1
D/bovine/Oklahoma/1544/2018|USA|2018-11-01,MW632187.1
D/bovine/Hokkaido/HKD1/2018|Japan|2018-11,LC565473.1
D/bovine/Hokkaido/HKD2/2019|Japan|2019-01,LC565474.1
D/bovine/Hokkaido/HKD3/2020|Japan|2020-01,LC565475.1
D/bovine/Utah/9/2019|USA|2019-01-09,MW079451.1
D/bovine/California/17/2019|USA|2019-01-16,MW079452.1
D/bovine/Kansas/25/2019|USA|2019-04-16,MW079453.1
D/bovine/Kansas/26/2019|USA|2019-04-16,MW079454.1
D/bovine/Kansas/27/2019|USA|2019-04-16,MW079455.1
D/bovine/Kansas/28/2019|USA|2019-04-16,MW079456.1
D/bovine/Kansas/33/2019|USA|2019-08-20,MW079457.1
D/bovine/Texas/72/2017|USA|2017,MT636472.1
D/bovine/Italy/17VIR1851/2016|Italy|2016-10-26,MK965321.1
D/bovine/Italy/16RS2359/2016|Italy|2016-12-16,MK965334.1
D/bovine/Italy/16RS2581-9/2016|Italy|2016-12-29,MK965335.1
D/bovine/Italy/17RS393-6/2017|Italy|2017-02-17,MK965336.1
D/bovine/Italy/17RS395-6/2017|Italy|2017-02-08,MK965337.1
D/bovine/Italy/17RS396-10/2017|Italy|2017-02-08,MK965338.1
D/bovine/Italy/17RS397-3/2017|Italy|2017-02-06,MK965339.1
D/bovine/Italy/18RS182-1/2017|Italy|2017-03-17,MK965329.1
D/bovine/Italy/18RS182-10/2017|Italy|2017-10-10,MK965325.1
D/bovine/Italy/18RS182-12/2017|Italy|2017-12-01,MK965326.1
D/bovine/Italy/18RS182-13/2017|Italy|2017-12-19,MK965327.1
D/bovine/Italy/18RS182-14/2017|Italy|2017-12-18,MK965328.1
D/bovine/Italy/18RS182-16/2018|Italy|2018-01-19,MK965322.1
D/bovine/Italy/18RS182-17/2018|Italy|2018-01-19,MK965323.1
D/bovine/Italy/18RS182-18/2018|Italy|2018-01-19,MK965324.1
D/bovine/Italy/18RS182-3/2017|Italy|2017-03-20,MK965330.1
D/bovine/Italy/18RS182-4/2017|Italy|2017-04-03,MK965331.1
D/bovine/Italy/18RS182-6/2017|Italy|2017-04-12,MK965332.1
D/bovine/Italy/18RS182-8/2017|Italy|2017-08-22,MK965333.1
D/bovine/Italy/15RS1509-14/2015|Italy|2015-09-10,MK965340.1
D/swine/Italy/18VIR6833/2015|Italy|2015,MK965341.1
D/bovine/Quebec/5E-H/2018|Canada|2018,MT246270.1
D/bovine/Quebec/1M-H/2019|Canada|2019,MT246277.1
D/bovine/Quebec/3E-H/2018|Canada|2018,MT246283.1
D/bovine/Quebec/3M-B/2020|Canada|2020-01,MT246290.1
D/bovine/Quebec/4Q-J20/2020|Canada|2020-01,MT246297.1
D/swine/Italy/73601-3/2017|Italy|2017-03,MK131024.1
D/bovine/Italy/31525/2018|Italy|2018-01,MK131030.1
D/bovine/Yamagata/1/2019|Japan|2019-01-07,LC494107.1
D/bovine/Italy/28145/2019|Italy|2019-01,MN123954.1
D/bovine/Italy/28300/2019|Italy|2019-01,MN123864.1
D/bovine/Italy/30787/2017|Italy|2017-02,MN123873.1
D/bovine/Italy/35490/2019|Italy|2019-01,MN123878.1
